entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Transformer distillation,1,Transformer Distillation,21,1.0
two-stage learning framework,2,Two-stage Learning Framework,30,1.0
Loss functions,14,Loss Functions,22,1.0000001192092896
Embedding layer,15,Embedding Layers,32,0.905754566192627
Hidden states,16,Hidden States,40,1.0000001192092896
Attention matrices,17,Attention matrix A,29,0.892087459564209
Attention matrices,17,Attention Matrices,33,1.0
Multi-head Attention (MHA),27,Multi-Head Attention (MHA),35,1.0
Attention matrix A,29,Attention Matrices,33,0.892087459564209
Nodes: Transformer distillation<==>Transformer Distillation
"A novel method specifically designed for knowledge distillation (KD) of Transformer-based models, used to transfer knowledge from a large teacher BERT to a smaller student TinyBERT.",1,"A specially designed knowledge distillation method for Transformer-based models, used to transfer knowledge from a teacher BERT model to a student TinyBERT model.",1,0.9682937860488892
Nodes: two-stage learning framework<==>Two-stage Learning Framework
"The learning framework used in TinyBERT, consisting of general distillation (pre-training) and task-specific distillation (fine-tuning).",0,"A learning framework with two stages: general distillation (pre-training) and task-specific distillation (fine-tuning), used to train TinyBERT.",0,0.9002096652984619
"The learning framework used in TinyBERT, consisting of general distillation (pre-training) and task-specific distillation (fine-tuning).",1,"A learning framework with two stages: general distillation (pre-training) and task-specific distillation (fine-tuning), used to train TinyBERT.",0,0.9002096652984619
"The learning framework used in TinyBERT, consisting of general distillation (pre-training) and task-specific distillation (fine-tuning).",2,"A learning framework with two stages: general distillation (pre-training) and task-specific distillation (fine-tuning), used to train TinyBERT.",0,0.9002096652984619
"The learning framework used in TinyBERT, consisting of general distillation (pre-training) and task-specific distillation (fine-tuning).",3,"A learning framework with two stages: general distillation (pre-training) and task-specific distillation (fine-tuning), used to train TinyBERT.",0,0.9002096652984619
"The learning framework used in TinyBERT, consisting of general distillation (pre-training) and task-specific distillation (fine-tuning).",4,"A learning framework with two stages: general distillation (pre-training) and task-specific distillation (fine-tuning), used to train TinyBERT.",0,0.9002096652984619
Nodes: Attention matrices<==>Attention Matrices
"The attention matrices derived from the Transformer layer of the teacher BERT, used as a source of knowledge for distillation in TinyBERT.",0,"The attention matrices of the teacher BERT model, which are used as a fitting target in the distillation process to transfer linguistic knowledge to the student TinyBERT.",0,0.8554951548576355
