entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
human detection,2,Human Detection,19,1.0000001192092896
human detection,2,Human detection,25,1.0000001192092896
pose estimation,3,Pose Estimation,20,1.0
pose estimation,3,Pose estimation,26,1.0
person Re-ID (re-identification),4,Person Re-ID,21,0.9345998764038086
person Re-ID (re-identification),4,Person Re-ID (re-identification),27,1.0
scale variation problem,6,Scale variation problem,28,1.0
occlusion-aware strategy,8,Occlusion-aware strategy,40,1.0000001192092896
backbone networks,9,Backbone network,29,0.917383074760437
Human Detection,19,Human detection,25,1.0000001192092896
Pose Estimation,20,Pose estimation,26,1.0
Person Re-ID,21,Person Re-ID (re-identification),27,0.9345998764038086
Keypoint detection,36,keypoint detection,45,1.0000001192092896
Nodes: human detection<==>Human Detection
The process of identifying and locating humans within an image or video.,0,The task of identifying and locating human figures within an image or video frame.,0,0.8949480056762695
Nodes: pose estimation<==>Pose Estimation
"The process of estimating the positions of keypoints (e.g., joints) on a human body.",0,"The task of determining the spatial configuration of keypoints (e.g., joints) on a human body within an image or video.",0,0.8513806462287903
Nodes: pose estimation<==>Pose estimation
"The process of estimating the positions of keypoints (e.g., joints) on a human body.",0,"The process of identifying and locating keypoints (e.g., joints) on a human figure within an image.",0,0.8749810457229614
Nodes: person Re-ID (re-identification)<==>Person Re-ID
The task of re-identifying a person across different camera views or over time.,0,The task of re-identifying a specific person across different camera views or video frames.,0,0.9531869292259216
Nodes: scale variation problem<==>Scale variation problem
"A performance bottleneck in unified pose estimation, caused by variations in the size of objects in an image.",0,"A performance bottleneck in unified pose estimation, caused by the varying sizes of objects in an image.",0,0.9907452464103699
Nodes: Pose Estimation<==>Pose estimation
"The task of determining the spatial configuration of keypoints (e.g., joints) on a human body within an image or video.",0,"The process of identifying and locating keypoints (e.g., joints) on a human figure within an image.",0,0.8903735876083374
